ksat_ID,ksat_Soil_Counter,ksat_Test_Method,ksat_Technician,ksat_Lab_Notes,ksat_Test_Date,ksat_Specimen_ID,ksat_Specimen_Diameter,ksat_Specimen_Length,Laboratory_ksat,Field_ksat,Inverse_ksat,Air_Entry_ksat,Hazens_Constant,Hazens_ksat,Kozeny_Constant,Kozeny_Carman_ksat,Rawls_1983_ksat,Rawls_1993_ksat,Slichter_ksat,Terzaghi_ksat,Kozeny_ksat,USBR_ksat,Beyer_ksat,Kruger_ksat,Zamarin_ksat,Perm_Stress_State,FairHatch_ksat,FairHatch_SandShapeFactor,k_NAVFAC,k_Chapuis
"{0F7195CB-08DA-407A-A33ED7192F616BD9}","449839485","Falling head test","Yugantha Perera",,"07/25/03 00:00:00","4-1-1-18.5",,,2.07e-08,,,,,,,,,,,,,,,,,0,,,0,0
"{10826F4B-83B7-4040-91B591A00C9AB97C}","658087359","Falling head test","Yugantha Perera",,"07/24/03 00:00:00","1-3-4-7.5",,,1.2100001e-06,,,,,,,,,,,,,,,,,0,,,0,0
"{117C362C-1A86-4F7F-B910BC98E88F6CC6}","384667449","Falling head test","Yugantha Perera",,"09/08/03 00:00:00","8-1-2-10.5",,,2.4999999e-06,,,,,,,,,,,,,,,,,0,,,0,0
"{1487A4DB-E428-4F24-9DD571574CFE8F47}","431511455","Falling head test","Yugantha Perera",,"07/24/03 00:00:00","1-3-3-8.25",,,1.2100001e-06,,,,,,,,,,,,,,,,,0,,,0,0
"{15C143D9-ED0B-4C35-97BDA7BD6C4C2243}","311014493","Falling head test","Yugantha Perera",,"09/08/03 00:00:00","8-1-2-22",,,2.69e-09,,,,,,,,,,,,,,,,,0,,,0,0
"{1B16C89E-B594-4134-8185281C50C83F73}","410325474","Falling head test","Yugantha Perera",,"07/29/03 00:00:00","1-5-2-23",,,4.0799999e-10,,,,,,,,,,,,,,,,,0,,,0,0
"{1BD94BAF-B994-4AB0-A7D602FB428F6345}","339998192","Falling head test","Yugantha Perera",,"08/14/03 00:00:00","7-1-2-13.5",,,5.9000001e-07,,,,,,,,,,,,,,,,,0,,,0,0
"{1EE072D4-94A2-4EC6-8184EC46326FCC5D}","506803671","Falling head test","Yugantha Perera",,"09/08/03 00:00:00","7-3-4-30",,,4.4500001e-10,,,,,,,,,,,,,,,,,0,,,0,0
"{20B471BA-B78F-4E30-89C225803318D922}","987270461","Falling head test","Yugantha Perera",,"08/25/03 00:00:00","6-4-2-17",,,6.0299999e-07,,,,,,,,,,,,,,,,,0,,,0,0
"{210D5AF6-1550-47B1-B262AF226191652E}","284323586","Falling head test","Yugantha Perera",,"08/14/03 00:00:00","7-1-1-10",,,2.34e-07,,,,,,,,,,,,,,,,,0,,,0,0
"{219B665F-C6DA-4310-A8B722AC6040083B}","701368225","Falling head test","Yugantha Perera",,"09/09/03 00:00:00","2-1-6-6.5",,,8.0199999e-07,,,,,,,,,,,,,,,,,0,,,0,0
"{2283FFE1-368B-4B39-931747DEB37F7A43}","347120178","Falling head test","Yugantha Perera",,"07/24/03 00:00:00","1-3-1-23",,,2.4e-09,,,,,,,,,,,,,,,,,0,,,0,0
"{2415D51F-69F5-4533-91A0CD752C20D5F7}","146444320","Falling head test","Yugantha Perera",,"08/13/03 00:00:00","7-5-2-13.5",,,6.1400002e-05,,,,,,,,,,,,,,,,,0,,,0,0
"{245FD3A3-02E7-4E30-A87BC3DD60EFBBD1}","206723795","Falling head test","Yugantha Perera",,"07/24/03 00:00:00","1-3-2-9.5",,,1.2100001e-06,,,,,,,,,,,,,,,,,0,,,0,0
"{246AA265-22E8-404D-9E69353A765C5CAB}","406177997","Falling head test","Yugantha Perera",,"08/14/03 00:00:00","5-4-3-28",,,4.29e-10,,,,,,,,,,,,,,,,,0,,,0,0
"{2526E98C-C67B-4C56-A8ADBF824F93930E}","626855055","Falling head test","Yugantha Perera",,"08/14/03 00:00:00","8-2-2-12",,,1.14e-08,,,,,,,,,,,,,,,,,0,,,0,0
"{27E1C1A8-331D-4633-8F5C3E54085627BA}","193697081","Falling head test","Yugantha Perera",,"09/02/03 00:00:00","1-2-3-22",,,1.44e-07,,,,,,,,,,,,,,,,,0,,,0,0
"{2866A373-1072-4BF4-86667C040ABE5E63}","944280306","Falling head test","Yugantha Perera",,"09/08/03 00:00:00","2-1-2-8",,,8.0199999e-07,,,,,,,,,,,,,,,,,0,,,0,0
"{29B644F4-48F7-4DDE-827C2FEE421B520C}","253499984","Falling head test","Yugantha Perera",,"08/15/03 00:00:00","5-1-2-24",,,1.5e-09,,,,,,,,,,,,,,,,,0,,,0,0
"{29C7C330-0745-4A2F-98B42A02C3E9A580}","791060765","Falling head test","Yugantha Perera",,"08/13/03 00:00:00","7-4-1-37",,,6.1499998e-07,,,,,,,,,,,,,,,,,0,,,0,0
"{2BA33808-82B3-4943-B41CFD2892E27463}","270169628","Falling head test","Yugantha Perera",,"09/08/03 00:00:00","2-1-2-18",,,2.07e-08,,,,,,,,,,,,,,,,,0,,,0,0
"{2BEE1F92-2E31-47D8-8A35D73E7FA37256}","284837033","Falling head test","Yugantha Perera",,"07/25/03 00:00:00","4-1-2-11.5",,,1.22e-05,,,,,,,,,,,,,,,,,0,,,0,0
"{2C504463-379F-4578-9E30BC6BEEE12CE7}","653029547","Falling head test","Yugantha Perera",,"09/02/03 00:00:00","3-2-1-15",,,2.7300001e-07,,,,,,,,,,,,,,,,,0,,,0,0
"{2CC65800-BB41-4046-B2697F532D7B2335}","549106279","Falling head test","Yugantha Perera",,"09/08/03 00:00:00","2-1-1-7",,,8.0199999e-07,,,,,,,,,,,,,,,,,0,,,0,0
"{2D0E1D3B-F2C7-4B4F-A89C339389C8E75A}","141837967","Falling head test","Yugantha Perera",,"08/13/03 00:00:00","7-4-2-14.5",,,7.6599999e-06,,,,,,,,,,,,,,,,,0,,,0,0
"{2F8FD67D-FF9F-4DE8-B05EF7CE52D5EA82}","326639493","Falling head test","Yugantha Perera",,"09/04/03 00:00:00","6-2-1-11.5",,,3.9699999e-06,,,,,,,,,,,,,,,,,0,,,0,0
"{2FBE93C9-856A-4CFA-BF6F68B91FDCB345}","505511177","Falling head test","Yugantha Perera",,"09/08/03 00:00:00","2-1-4-8",,,8.0199999e-07,,,,,,,,,,,,,,,,,0,,,0,0
"{308C9A06-C9C3-464F-821D7719DD1507A3}","718217849","Falling head test","Yugantha Perera",,"09/04/03 00:00:00","6-2-1-44",,,1.46e-09,,,,,,,,,,,,,,,,,0,,,0,0
"{314E3265-D398-4342-B52499D2025FA785}","319648795","Falling head test","Yugantha Perera",,"08/13/03 00:00:00","7-5-3-43",,,1.07e-09,,,,,,,,,,,,,,,,,0,,,0,0
"{3401A765-ABCA-4577-B4EED8A15AEE4491}","576514191","Falling head test","Yugantha Perera",,"07/24/03 00:00:00","2-3-3-12",,,3.9199999e-06,,,,,,,,,,,,,,,,,0,,,0,0
"{35FDBB83-1C17-4D86-A98900446A186114}","704385492","Falling head test","Yugantha Perera",,"08/14/03 00:00:00","7-1-1-13.5",,,5.9000001e-07,,,,,,,,,,,,,,,,,0,,,0,0
"{370948A5-FFC1-4FA5-B51F7F618F86C40D}","366920736","Falling head test","Yugantha Perera",,"09/04/03 00:00:00","6-2-1-20",,,1.42e-05,,,,,,,,,,,,,,,,,0,,,0,0
"{3715A82C-42EA-4F58-B17F9BAF733B1311}","746406290","Falling head test","Yugantha Perera",,"08/14/03 00:00:00","5-4-1-27",,,4.29e-10,,,,,,,,,,,,,,,,,0,,,0,0
"{378379E2-D174-421F-B7BDF3FE3F23CC6C}","275339603","Falling head test","Yugantha Perera",,"09/08/03 00:00:00","7-3-2-30",,,4.4500001e-10,,,,,,,,,,,,,,,,,0,,,0,0
"{3918990C-6B9E-4D4D-B57AFEF150C9CC34}","835287359","Falling head test","Yugantha Perera",,"08/14/03 00:00:00","3-1-2-29",,,3.7000001e-09,,,,,,,,,,,,,,,,,0,,,0,0
"{3B6F273B-7A65-470B-8A483944F7D55CA0}","145287566","Falling head test","Yugantha Perera",,"07/30/03 00:00:00","8-3-1-13",,,2.62e-08,,,,,,,,,,,,,,,,,0,,,0,0
"{46A5C9C7-1949-447E-B42C7EAAF2F35B21}","410055478","Falling head test","Yugantha Perera",,"08/14/03 00:00:00","1-4-3-40",,,4.4299999e-09,,,,,,,,,,,,,,,,,0,,,0,0
"{47D9D156-9A73-49A7-84EADCEC99DC169F}","541404406","Falling head test","Yugantha Perera",,"08/14/03 00:00:00","8-2-1-19",,,6.8000003e-07,,,,,,,,,,,,,,,,,0,,,0,0
"{4B5C16EC-F126-458A-910801B946B37ECA}","285334269","Falling head test","Yugantha Perera",,"08/14/03 00:00:00","7-1-2-10.5",,,2.34e-07,,,,,,,,,,,,,,,,,0,,,0,0
"{4BEDDA2A-FBCB-46B5-BE06D2235EDDA2ED}","993759473","Falling head test","Yugantha Perera",,"08/13/03 00:00:00","7-5-3-13.5",,,6.1400002e-05,,,,,,,,,,,,,,,,,0,,,0,0
"{4CD0DB70-D4CD-4170-906B6A1B547EDB1E}","979971408","Falling head test","Yugantha Perera",,"08/15/03 00:00:00","6-3-1-10.5",,,4.2500002e-08,,,,,,,,,,,,,,,,,0,,,0,0
"{4CDB110B-D8E5-4DE3-BB95DA55A5D114A4}","702592849","Falling head test","Yugantha Perera",,"09/08/03 00:00:00","8-1-3-10",,,2.4999999e-06,,,,,,,,,,,,,,,,,0,,,0,0
"{4F3DBFBF-CA39-4565-AEA707B4C7B40693}","596860673","Falling head test","Yugantha Perera",,"09/08/03 00:00:00","2-1-5-18",,,5.78e-09,,,,,,,,,,,,,,,,,0,,,0,0
"{50B73406-F4A1-4860-B17A1AA5EA22EC3C}","986849943","Falling head test","Yugantha Perera",,"08/13/03 00:00:00","7-4-2-19",,,6.1499998e-07,,,,,,,,,,,,,,,,,0,,,0,0
"{50F7299A-F0CA-46A0-A98A798B571C238B}","197809166","Falling head test","Yugantha Perera",,"09/08/03 00:00:00","2-1-3-6.5",,,8.0199999e-07,,,,,,,,,,,,,,,,,0,,,0,0
"{514E6E8D-CB15-44F3-9F2D18074CBE2B5E}","809567345","Falling head test","Yugantha Perera",,"09/04/03 00:00:00","6-2-3-13",,,1.42e-05,,,,,,,,,,,,,,,,,0,,,0,0
"{51B7B653-DD0A-4384-8A95E3FD59C7719B}","514723883","Falling head test","Yugantha Perera",,"09/08/03 00:00:00","2-1-2-30",,,6.15e-10,,,,,,,,,,,,,,,,,0,,,0,0
"{55CBFA78-9BDC-4EBC-9BF594745F19089D}","767747190","Falling head test","Yugantha Perera",,"08/13/03 00:00:00","8-3-3-29",,,2.43e-08,,,,,,,,,,,,,,,,,0,,,0,0
"{56A0B004-77F0-458D-AFC9EE9829174F2D}","172034528","Falling head test","Yugantha Perera",,"08/25/03 00:00:00","6-4-1-23",,,1.23e-08,,,,,,,,,,,,,,,,,0,,,0,0
"{57B152D6-14D0-4D0C-BA9E6E944D618EEF}","676412476","Falling head test","Yugantha Perera",,"09/08/03 00:00:00","2-1-3-18",,,2.07e-08,,,,,,,,,,,,,,,,,0,,,0,0
"{59F665F2-9667-4A2D-AB8086D3A135C8B0}","344818486","Falling head test","Yugantha Perera",,"08/13/03 00:00:00","7-4-1-48",,,1.41e-09,,,,,,,,,,,,,,,,,0,,,0,0
"{5BB4FF15-255F-42F1-B6F7DC7CDD432A55}","250670062","Falling head test","Yugantha Perera",,"08/14/03 00:00:00","8-2-3-12",,,1.45e-08,,,,,,,,,,,,,,,,,0,,,0,0
"{5C290BA8-E377-488D-BE011ABF07F80B9F}","824500348","Falling head test","Yugantha Perera",,"08/14/03 00:00:00","6-1-1-20",,,1.54e-06,,,,,,,,,,,,,,,,,0,,,0,0
"{5C81BFC4-FB86-4071-99B6E430F75EC7D7}","480382760","Falling head test","Yugantha Perera",,"07/29/03 00:00:00","1-5-4-23.5",,,4.0799999e-10,,,,,,,,,,,,,,,,,0,,,0,0
"{5DB716E6-05B0-4DD1-A6930EC588629401}","777241706","Falling head test","Yugantha Perea",,"08/13/03 00:00:00","8-3-2-29",,,2.43e-08,,,,,,,,,,,,,,,,,0,,,0,0
"{5DD86E96-3151-4507-8C6208C9C47759E2}","645047346","Falling head test","Yugantha Perera",,"08/13/03 00:00:00","7-4-3-19",,,6.1499998e-07,,,,,,,,,,,,,,,,,0,,,0,0
"{61C0CBCF-4587-41E3-AC292A11CD25594D}","559164418","Falling head test","Yugantha Perera",,"09/08/03 00:00:00","7-2-1-20",,,7.0299999e-10,,,,,,,,,,,,,,,,,0,,,0,0
"{62FFCFFF-228C-41D7-B82BA8E9B1F5751F}","214536295","Falling head test","Yugantha Perera",,"07/29/03 00:00:00","1-5-3-15",,,4.8e-09,,,,,,,,,,,,,,,,,0,,,0,0
"{64CA87D6-9EEA-410F-8BAB8B68D6AD021E}","764734321","Falling head test","Yugantha Perera",,"07/30/03 00:00:00","8-3-1-28",,,2.43e-08,,,,,,,,,,,,,,,,,0,,,0,0
"{67E1F98F-F431-4BDF-A6230A88663293AA}","985854042","Falling head test","Yugantha Perera",,"09/08/03 00:00:00","2-1-1-30",,,6.15e-10,,,,,,,,,,,,,,,,,0,,,0,0
"{67E863ED-04BA-4858-915E6222128442F4}","611675633","Falling head test","Yugantha Perera",,"08/13/03 00:00:00","7-5-3-7.5",,,1.52e-06,,,,,,,,,,,,,,,,,0,,,0,0
"{6836A5D3-AF3D-46D2-9B7C024FEE147CAE}","686188803","Falling head test","Yugantha Perera",,"09/08/03 00:00:00","7-2-2-30",,,5.17e-10,,,,,,,,,,,,,,,,,0,,,0,0
"{691748E0-43B1-41A3-9D0FD880B6AB18C2}","277377181","Falling head test","Yugantha Perera",,"08/15/03 00:00:00","6-3-2-10",,,4.2500002e-08,,,,,,,,,,,,,,,,,0,,,0,0
"{6A96C8E5-68B3-46A8-8F049913E8612351}","518605761","Falling head test","Yugantha Perera",,"07/30/03 00:00:00","8-3-2-14",,,2.62e-08,,,,,,,,,,,,,,,,,0,,,0,0
"{6CE4EDBB-80D1-4E69-83D95E6B5C172876}","499612331","Falling head test","Yugantha Perera",,"09/08/03 00:00:00","7-3-1-30",,,4.4500001e-10,,,,,,,,,,,,,,,,,0,,,0,0
"{70040726-2DB3-4DCB-B6A29375D2C27ECA}","115225314","Falling head test","Yugantha Perera",,"09/08/03 00:00:00","8-1-2-31",,,1.63e-09,,,,,,,,,,,,,,,,,0,,,0,0
"{7316B8CF-3E9C-44E0-8117442124A81807}","632767200","Falling head test","Yugantha Perera",,"09/04/03 00:00:00","6-2-2-44",,,1.46e-09,,,,,,,,,,,,,,,,,0,,,0,0
"{7A8FAE58-8549-4C6F-9AD1AF181D33096B}","537590397","Falling head test","Yugantha Perera",,"09/08/03 00:00:00","8-1-3-20",,,2.69e-09,,,,,,,,,,,,,,,,,0,,,0,0
"{7ACD973C-9C2F-4708-B1A4653E41E22F0A}","791481282","Falling head test","Yugantha Perera",,"08/25/03 00:00:00","6-4-2-23",,,1.23e-08,,,,,,,,,,,,,,,,,0,,,0,0
"{7D116880-82FF-453E-BA5C8A51C7E24E4A}","856876161","Falling head test","Yugantha Perera",,"09/09/03 00:00:00","2-1-6-30",,,1.72e-08,,,,,,,,,,,,,,,,,0,,,0,0
"{7D2C442A-EA03-499C-9778E7A23E5F9BA9}","235722276","Falling head test","Yugantha Perera",,"07/24/03 00:00:00","1-3-3-14.5",,,4.8600002e-10,,,,,,,,,,,,,,,,,0,,,0,0
"{7DB92E05-C8C8-4D9B-81924F2AD007FEC8}","493713484","Falling head test","Yugantha Perera",,"09/08/03 00:00:00","7-3-2-19.5",,,2.01e-08,,,,,,,,,,,,,,,,,0,,,0,0
"{7E104C2A-424E-4A65-AD1650104BD114DB}","214726659","Falling head test","Yugantha Perera",,"09/04/03 00:00:00","8-1-1-20",,,2.69e-09,,,,,,,,,,,,,,,,,0,,,0,0
"{7F14C968-B336-4C10-BD311960214C9788}","505579047","Falling head test","Yugantha Perera",,"09/09/03 00:00:00","2-1-6-18",,,5.78e-09,,,,,,,,,,,,,,,,,0,,,0,0
"{7F1899EB-AA63-4E37-B7857589526ADA3D}","365380340","Falling head test","Yugantha Perera",,,"1-3-1-15",,,4.8600002e-10,,,,,,,,,,,,,,,,,0,,,0,0
"{8004036C-D334-4FAB-9031ABDF649A4330}","569887955","Falling head test","Yugantha Perera",,"08/14/03 00:00:00","8-2-1-12",,,1.45e-08,,,,,,,,,,,,,,,,,0,,,0,0
"{81CE4CF0-8D82-4BF9-B9C4CAE5F0759BBB}","765086968","Falling head test","Yugantha Perera",,"08/26/03 00:00:00","3-3-2-17",,,2.3800001e-06,,,,,,,,,,,,,,,,,0,,,0,0
"{85F659E6-A72E-4D10-B553C9120F95C708}","969963444","Falling head test","Yugantha Perera",,"09/04/03 00:00:00","8-1-1-11",,,2.4999999e-06,,,,,,,,,,,,,,,,,0,,,0,0
"{8618858A-D303-490C-880B135503077148}","616131517","Falling head test","Yugantha Perera",,"09/08/03 00:00:00","7-2-2-20.5",,,7.0299999e-10,,,,,,,,,,,,,,,,,0,,,0,0
"{8973D245-3AC0-4B48-9650D624A1AED6E6}","435453891","Falling head test","Yugantha Perera",,"09/08/03 00:00:00","2-1-3-30",,,6.15e-10,,,,,,,,,,,,,,,,,0,,,0,0
"{8A9D878C-8F1E-4DE1-8F9D5DAF7D334D04}","745177268","Falling head test","Yugantha Perera",,"09/08/03 00:00:00","2-1-4-30",,,1.72e-08,,,,,,,,,,,,,,,,,0,,,0,0
"{8F5906CA-443F-4D06-8891E8B65267E6B1}","627865738","Falling head test","Yugantha Perera",,"08/14/03 00:00:00","5-4-1-9",,,1.23e-05,,,,,,,,,,,,,,,,,0,,,0,0
"{8F644344-E3E5-491E-8CBA1061786B7800}","687411944","Falling head test","Yugantha Perera",,"09/02/03 00:00:00","1-2-2-15",,,1.63e-06,,,,,,,,,,,,,,,,,0,,,0,0
"{90E86AA6-7918-4157-B9B8C5AF5ED6BEBE}","237132814","Falling head test","Yugantha Perera",,"08/14/03 00:00:00","1-4-1-19",,,1.59e-07,,,,,,,,,,,,,,,,,0,,,0,0
"{91100C95-C082-495E-B5EA26B72E49E399}","440060244","Falling head test","Yugantha Perera",,"09/08/03 00:00:00","6-5-1-12",,,2.37e-09,,,,,,,,,,,,,,,,,0,,,0,0
"{91249524-D2AB-48AC-91778CAFD315DB17}","374098777","Falling head test","Yugantha Perera",,"08/14/03 00:00:00","8-2-3-18",,,6.8000003e-07,,,,,,,,,,,,,,,,,0,,,0,0
"{917D6D2E-1AB3-4A52-98D4933C4C819649}","587019390","Falling head test","Yugantha Perera",,"07/24/03 00:00:00","1-3-3-23",,,2.4e-09,,,,,,,,,,,,,,,,,0,,,0,0
"{9A09F847-317A-4162-B72A2A8F925500C1}","725891643","Falling head test","Yugantha Perera",,"08/13/03 00:00:00","7-4-1-14.5",,,1.07e-05,,,,,,,,,,,,,,,,,0,,,0,0
"{9A133436-6ECA-453D-8F59FDFB58A49E72}","948157787","Falling head test","Yugantha Perera",,"09/08/03 00:00:00","2-1-4-18",,,5.78e-09,,,,,,,,,,,,,,,,,0,,,0,0
"{9E0A15C4-82EA-4FFC-B4B1F25E49352E88}","960523499","Falling head test","Yugantha Perera",,"07/30/03 00:00:00","8-3-1-20",,,3.7200001e-09,,,,,,,,,,,,,,,,,0,,,0,0
"{A0E8FBB6-63C9-4709-9A68150BC6BC341F}","979457961","Falling head test","Yugantha Perera",,"09/04/03 00:00:00","6-2-3-44",,,1.46e-09,,,,,,,,,,,,,,,,,0,,,0,0
"{A10DFB06-EC20-4B98-B9DB722CE8105115}","819612185","Falling head test","Yugantha Perera",,"08/14/03 00:00:00","5-3-2-16.5",,,4.9299997e-10,,,,,,,,,,,,,,,,,0,,,0,0
"{A1A9392A-00DE-4EF0-B33EDE8C68A48E05}","629152350","Falling head test","Yugantha Perera",,"09/02/03 00:00:00","3-2-2-25",,,3.3100001e-10,,,,,,,,,,,,,,,,,0,,,0,0
"{A1AB2844-426B-464B-A0CA4DFA87E6BFD5}","243019845","Falling head test","Yugantha Perera",,"07/29/03 00:00:00","1-5-4-15.5",,,4.8e-09,,,,,,,,,,,,,,,,,0,,,0,0
"{A2E6700A-9F37-494E-9E9A1FCA93AE3733}","794888072","Falling head test","Yugantha Perera",,"07/24/03 00:00:00","2-3-3-5.5",,,3.2600001e-06,,,,,,,,,,,,,,,,,0,,,0,0
"{A6919FE3-2B45-40E4-BC4CD410F857A846}","362019273","Falling head test","Yugantha Perera",,"08/14/03 00:00:00","7-1-3-13",,,5.9000001e-07,,,,,,,,,,,,,,,,,0,,,0,0
"{A791F39C-6A4D-4607-80AD7669551F17A6}","724385208","Falling head test","Yugantha Perera",,"08/14/03 00:00:00","1-4-2-42",,,4.4299999e-09,,,,,,,,,,,,,,,,,0,,,0,0
"{AA4E0A6C-3019-45FB-803915F785395D03}","786190297","Falling head test","Yugantha Perera",,"07/25/03 00:00:00","1-5-1-23",,,4.0799999e-10,,,,,,,,,,,,,,,,,0,,,0,0
"{ABCE6C65-962C-4601-BF63392A7E3C4E9B}","987431261","Falling head test","Yugantha Perera",,"07/25/03 00:00:00","4-1-1-11.5",,,1.22e-05,,,,,,,,,,,,,,,,,0,,,0,0
"{AE58CD48-0295-40F0-9F42A21BC602FA93}","447996669","Falling head test","Yugantha Perera",,"08/15/03 00:00:00","5-1-3-24",,,1.5e-09,,,,,,,,,,,,,,,,,0,,,0,0
"{AF854C86-4EFA-46FF-BEB718E2279520BF}","170618110","Falling head test","Yugantha Perera",,"09/08/03 00:00:00","6-5-2-11",,,2.37e-09,,,,,,,,,,,,,,,,,0,,,0,0
"{AFA496E3-5965-4808-9A68755EA30D0783}","581452528","Falling head test","Yugantha Perera",,"08/13/03 00:00:00","8-3-3-14",,,2.62e-08,,,,,,,,,,,,,,,,,0,,,0,0
"{B279B286-6727-46EE-BE4D51A554E1CCB4}","344886355","Falling head test","Yugantha Perera",,"08/14/03 00:00:00","5-3-3-16",,,4.9299997e-10,,,,,,,,,,,,,,,,,0,,,0,0
"{B32FFD55-2D2A-421D-BBBADA9DAE8965E7}","914439307","Falling head test","Yugantha Perera",,"07/24/03 00:00:00","2-3-2-5.5",,,3.2600001e-06,,,,,,,,,,,,,,,,,0,,,0,0
"{B4D04BB9-E247-44B6-8E90E7A1875DBEE9}","701300356","Falling head test","Yugantha Perera",,"09/08/03 00:00:00","2-1-5-6.5",,,8.0199999e-07,,,,,,,,,,,,,,,,,0,,,0,0
"{B6269DBB-AA30-4C04-AC3CBA9E51688E98}","987640804","Falling head test","Yugantha Perera",,"09/02/03 00:00:00","1-2-1-22",,,1.44e-07,,,,,,,,,,,,,,,,,0,,,0,0
"{B64621F7-EF3E-4043-94029CB3138657C5}","239946524","Falling head test","Yugantha Perera",,"09/08/03 00:00:00","7-2-3-21",,,7.0299999e-10,,,,,,,,,,,,,,,,,0,,,0,0
"{B71147D4-85CB-4537-9710EB30CD0D8C26}","379779285","Falling head test","Yugantha Perera",,"09/08/03 00:00:00","8-1-3-29",,,1.63e-09,,,,,,,,,,,,,,,,,0,,,0,0
"{B7D5EB20-27DB-4CC3-81052D1DA0951328}","850845972","Falling head test","Yugantha Perera",,"08/14/03 00:00:00","5-4-2-25",,,4.29e-10,,,,,,,,,,,,,,,,,0,,,0,0
"{B818652F-30B2-493C-B7709CBD8B7C4A78}","370503107","Falling head test","Yugantha Perera",,"08/14/03 00:00:00","8-2-2-18",,,6.8000003e-07,,,,,,,,,,,,,,,,,0,,,0,0
"{B889BEF4-2635-45CE-8B772BE2FEDBBB3E}","971242639","Falling head test","Yugantha Perera",,"08/14/03 00:00:00","1-4-1-27",,,1.08e-05,,,,,,,,,,,,,,,,,0,,,0,0
"{B9A0B819-1A7E-4D07-91EE6F76C2FCC6ED}","810840659","Falling head test","Yugantha Perera",,"09/02/03 00:00:00","1-2-1-16",,,1.63e-06,,,,,,,,,,,,,,,,,0,,,0,0
"{BB85B67E-6E08-4589-9A2C93948AD3D2D4}","592999405","Falling head test","Yugantha Perera",,"08/15/03 00:00:00","6-3-3-10",,,4.2500002e-08,,,,,,,,,,,,,,,,,0,,,0,0
"{BC6411F0-9391-4DC7-9570DE8625E38C53}","342746946","Falling head test","Yugantha Perera",,"07/24/03 00:00:00","2-3-C-6.5",,,3.2600001e-06,,,,,,,,,,,,,,,,,0,,,0,0
"{BCB4F1FF-A5BD-4C0F-BC13FEC99D6AEF69}","762926896","Falling head test","Yugantha Perera",,"08/14/03 00:00:00","3-1-3-32",,,3.7000001e-09,,,,,,,,,,,,,,,,,0,,,0,0
"{BF15E99F-56A0-46CF-83025D0BD6326872}","483557965","Falling head test","Yugantha Perera",,"09/09/03 00:00:00","2-1-5-30",,,1.72e-08,,,,,,,,,,,,,,,,,0,,,0,0
"{C07D448F-A508-47AA-B7BF9D63FD32B0A3}","573477745","Falling head test","Yugantha Perera",,"09/02/03 00:00:00","1-2-1-5",,,2.4799999e-07,,,,,,,,,,,,,,,,,0,,,0,0
